Etiquetas de fila;Suma de Numero de Barberias 2019;Suma de Numero de Barberias 2022
Alhué;1;0
Buin;48;69
Calera de Tango;16;16
Cerrillos;28;62
Cerro Navia;72;59
Colina;112;134
Conchalí;99;91
Curacaví;13;24
El Bosque;74;70
El Monte;9;12
Estación Central;144;171
Huechuraba;58;97
Independencia;79;95
Isla de Maipo;21;24
La Cisterna;82;103
La Florida;404;460
La Granja;47;46
La Pintana;48;50
La Reina;93;104
Lampa;62;104
Las Condes;530;770
Lo Barnechea;76;127
Lo Espejo;45;50
Lo Prado;77;84
Macul;75;87
Maipú;444;467
María Pinto;1;3
Melipilla;61;70
Ñuñoa;270;281
Padre Hurtado;39;52
Paine;13;18
Pedro Aguirre Cerda;49;55
Peñaflor;69;52
Peñalolén;132;169
Pirque;16;12
Providencia;724;928
Pudahuel;143;163
Puente Alto;550;592
Quilicura;154;176
Quinta Normal;75;89
Recoleta;161;155
Renca;74;64
San Bernardo;141;170
San Joaquín;42;49
San José de Maipo;3;9
San Miguel;110;150
San Pedro;0;0
San Ramón;49;45
Santiago;853;1047
Talagante;68;74
Tiltil;2;6
Vitacura;272;287
Total general;6828;8092
