Comuna;Provincia;Superficie - BCN (KM2);Poblacion - Censo 2017 INE (BCN);Densidad Poblacional;Numero de Barberias 2019;Numero de Barberias 2020;Var % 2019-2020;Numero de Barberias 2021;Numero de Barberias 2022;Var % 2020-2022;Cant Casos Policiales 2019;Cant Casos Policiales 2020;Var % 2019-2020;Cant Casos Policiales 2021;Var % 2020-2021;Cant Casos Policiales 2022;Var % 2021-2022;Cant Casos Policiales 2023;Var % 2022-2023;Cant Casos Policiales 2024;Indice de Criminalidad Año 2023 (Casos Policiales / N°Habit  X 100000hab)
Peñaflor;Provincia de Talagante;69;90201;1307;69;57;-17%;49;52;-9%;6954;5480;-21%;5425;-1%;6158;14%;6081;-1%;2846;6742
Padre Hurtado;Provincia de Talagante;80.8;63250;783;39;43;10%;55;52;21%;5108;4623;-9%;4829;4%;4804;-1%;4672;-3%;2631;7387
Talagante;Provincia de Talagante;126;74237;589;68;71;4%;76;74;4%;6329;5905;-7%;6389;8%;7181;12%;6304;-12%;3173;8492
El Monte;Provincia de Talagante;118;35923;304;9;10;11%;11;12;20%;3851;4669;21%;3870;-17%;3416;-12%;3465;1%;1659;9646
Isla de Maipo;Provincia de Talagante;189;36219;192;21;19;-10%;24;24;26%;4774;3793;-21%;3911;3%;4327;11%;3668;-15%;1761;10127
Santiago;Provincia de Santiago;22;404495;18386;853;803;-6%;1034;1047;30%;85810;54378;-37%;61951;14%;66970;8%;69239;3%;34513;17117
Independencia;Provincia de Santiago;7;100281;14326;79;64;-19%;99;95;48%;11502;9069;-21%;8974;-1%;9769;9%;13069;34%;6624;13032
Lo Espejo;Provincia de Santiago;7;98804;14115;45;28;-38%;38;50;79%;8391;7067;-16%;6586;-7%;6983;6%;7720;11%;3697;7813
Lo Prado;Provincia de Santiago;7;96249;13750;77;69;-10%;74;84;22%;9088;7598;-16%;7171;-6%;8668;21%;9812;13%;4649;10194
Ñuñoa;Provincia de Santiago;16.9;208237;12322;270;263;-3%;301;281;7%;22992;15133;-34%;14392;-5%;16787;17%;17854;6%;9560;8574
Cerro Navia;Provincia de Santiago;11;132622;12057;72;71;-1%;73;59;-17%;9318;7777;-17%;7909;2%;9236;17%;11184;21%;5361;8433
Conchalí;Provincia de Santiago;10.7;126955;11865;99;81;-18%;96;91;12%;11922;9403;-21%;8146;-13%;8623;6%;10041;16%;5208;7909
San Ramón;Provincia de Santiago;7;82900;11843;49;40;-18%;49;45;13%;7158;6486;-9%;5837;-10%;6647;14%;7306;10%;3628;8813
La Granja;Provincia de Santiago;10;116571;11657;47;39;-17%;49;46;18%;10965;8264;-25%;7975;-3%;8198;3%;9857;20%;5024;8456
El Bosque;Provincia de Santiago;14.2;162505;11444;74;60;-19%;75;70;17%;13084;10216;-22%;9251;-9%;10105;9%;10707;6%;5899;6589
San Miguel;Provincia de Santiago;10;107954;10795;110;107;-3%;143;150;40%;13412;10914;-19%;9751;-11%;10812;11%;11480;6%;6095;10634
Pedro Aguirre Cerda;Provincia de Santiago;10;101174;10117;49;49;0%;55;55;12%;10113;8109;-20%;6519;-20%;6931;6%;7585;9%;3768;7497
Providencia;Provincia de Santiago;14.3;142079;9936;724;751;4%;934;928;24%;28371;16284;-43%;18678;15%;20869;12%;21405;3%;10543;15066
Recoleta;Provincia de Santiago;16;157851;9866;161;140;-13%;148;155;11%;21759;15306;-30%;15717;3%;17065;9%;17157;1%;8540;10869
Estación Central;Provincia de Santiago;15;147041;9803;144;121;-16%;151;171;41%;23819;16876;-29%;15536;-8%;18939;22%;22811;20%;10949;15513
San Joaquín;Provincia de Santiago;9.7;94492;9741;42;41;-2%;50;49;20%;9023;7801;-14%;7354;-6%;7776;6%;8575;10%;4511;9075
Macul;Provincia de Santiago;12.9;116534;9034;75;68;-9%;81;87;28%;12696;8557;-33%;8128;-5%;8398;3%;9581;14%;5095;8222
La Cisterna;Provincia de Santiago;10;90119;9012;82;92;12%;100;103;12%;10316;7944;-23%;8000;1%;9292;16%;10283;11%;5725;11410
Quinta Normal;Provincia de Santiago;13;110026;8464;75;60;-20%;82;89;48%;14247;10049;-29%;9028;-10%;11499;27%;12607;10%;6134;11458
Renca;Provincia de Santiago;24;147151;6131;74;58;-22%;64;64;10%;13027;10186;-22%;9684;-5%;10599;9%;11636;10%;6126;7908
La Pintana;Provincia de Santiago;30.6;177335;5795;48;41;-15%;58;50;22%;15126;11805;-22%;10803;-8%;12744;18%;13716;8%;7256;7735
La Florida;Provincia de Santiago;70.2;366916;5227;404;374;-7%;443;460;23%;35808;26933;-25%;25458;-5%;27538;8%;27665;0%;14233;7540
Peñalolén;Provincia de Santiago;54;241599;4474;132;115;-13%;157;169;47%;18016;16730;-7%;15155;-9%;15846;5%;14981;-5%;7711;6201
La Reina;Provincia de Santiago;23;93787;4078;93;82;-12%;114;104;27%;10320;6957;-33%;6884;-1%;6946;1%;6998;1%;3452;7462
Maipú;Provincia de Santiago;135.5;521627;3850;444;417;-6%;496;467;12%;36735;29003;-21%;27626;-5%;31293;13%;32963;5%;16576;6319
Cerrillos;Provincia de Santiago;21;80832;3849;28;31;11%;47;62;100%;10246;7661;-25%;7700;1%;8836;15%;9138;3%;4760;11305
Quilicura;Provincia de Santiago;58;210410;3628;154;148;-4%;164;176;19%;17157;14032;-18%;12811;-9%;14160;11%;14589;3%;8034;6934
Vitacura;Provincia de Santiago;28.3;85384;3017;272;271;0%;285;287;6%;7736;4948;-36%;4610;-7%;5308;15%;4692;-12%;2487;5495
Las Condes;Provincia de Santiago;99;294838;2978;530;502;-5%;801;770;53%;24498;14288;-42%;14195;-1%;16294;15%;15285;-6%;7959;5184
Huechuraba;Provincia de Santiago;44.8;98671;2202;58;64;10%;94;97;52%;9465;7253;-23%;6560;-10%;7148;9%;8001;12%;4231;8109
Pudahuel;Provincia de Santiago;197;230293;1169;143;123;-14%;164;163;33%;23679;17537;-26%;17083;-3%;18324;7%;20544;12%;11407;8921
Lo Barnechea;Provincia de Santiago;1024;105833;103;76;72;-5%;125;127;76%;6037;5008;-17%;4961;-1%;4788;-3%;5246;10%;2651;4957
Melipilla;Provincia de Melipilla;1345;123627;92;61;58;-5%;65;70;21%;14158;11169;-21%;11693;5%;11903;2%;12368;4%;5874;10004
Curacaví;Provincia de Melipilla;693;32579;47;13;18;38%;19;24;33%;3955;4640;17%;3885;-16%;3555;-8%;3359;-6%;1677;10310
María Pinto;Provincia de Melipilla;393.5;13590;35;1;2;100%;3;3;50%;1055;1061;1%;1080;2%;1046;-3%;1031;-1%;595;7586
San Pedro;Provincia de Melipilla;788;9726;12;0;1;0%;1;0;-100%;1149;995;-13%;1169;17%;1252;7%;998;-20%;578;10261
Alhué;Provincia de Melipilla;845;6444;8;1;0;-100%;0;0;0%;774;593;-23%;746;26%;610;-18%;683;12%;352;10599
San Bernardo;Provincia de Maipo;155;301313;1944;141;144;2%;176;170;18%;31625;24895;-21%;22885;-8%;24827;8%;26066;5%;13326;8651
Buin;Provincia de Maipo;214;96614;451;48;46;-4%;62;69;50%;9899;9792;-1%;8323;-15%;9600;15%;8790;-8%;4168;9098
Calera de Tango;Provincia de Maipo;73.3;25392;346;16;15;-6%;16;16;7%;2541;2209;-13%;1843;-17%;2315;26%;2300;-1%;1217;9058
Paine;Provincia de Maipo;820;72759;89;13;18;38%;21;18;0%;5378;5554;3%;5093;-8%;5160;1%;5520;7%;3050;7587
Puente Alto;Provincia de Cordillera;88;568106;6456;550;487;-11%;549;592;22%;50022;37270;-25%;34573;-7%;37156;7%;39711;7%;19965;6990
Pirque;Provincia de Cordillera;445.13;26521;60;16;10;-38%;17;12;20%;2101;2344;12%;2328;-1%;2838;22%;2666;-6%;1274;10052
San José de Maipo;Provincia de Cordillera;4994.8;118189;24;3;3;0%;5;9;200%;2885;2492;-14%;2220;-11%;2141;-4%;2235;4%;1160;1891
Lampa;Provincia de Chacabuco;452;102034;226;62;62;0%;88;104;68%;8658;7997;-8%;8524;7%;9134;7%;9814;7%;4938;9618
Colina;Provincia de Chacabuco;971.2;146207;151;112;101;-10%;117;134;33%;12653;10436;-18%;10151;-3%;11012;8%;11545;5%;5864;7896
Tiltil;Provincia de Chacabuco;653;19312;30;2;3;50%;5;6;100%;1821;1410;-23%;1695;20%;1809;7%;2029;12%;994;10506
